1607697393.46, 429, 86, 1023, 33, 41, 59.0, 19.0
1607697996.09, 431, 76, 1023, 44, 40, 58.0, 19.0
1607698598.72, 432, 74, 1023, 42, 39, 58.0, 19.0
1607699201.34, 434, 79, 1023, 15, 36, 58.0, 19.0
1607699803.97, 436, 79, 1023, 40, 34, 57.0, 20.0
1607700414.18, 436, 87, 1023, 40, 33, 56.0, 20.0
1607701019.34, 435, 72, 1023, 40, 10, 57.0, 21.0
1607701621.97, 442, 77, 1023, 40, 35, 57.0, 21.0
1607702224.6, 432, 88, 1023, 29, 10, 57.0, 21.0
1607702827.23, 437, 84, 1023, 40, 31, 56.0, 21.0
1607703429.86, 440, 67, 1023, 39, 32, 56.0, 21.0
1607704032.49, 438, 76, 1023, 16, 32, 55.0, 21.0
1607704635.12, 443, 64, 1023, 15, 13, 56.0, 22.0
1607705237.71, 438, 84, 1023, 33, 11, 56.0, 22.0
1607705840.34, 441, 78, 1023, 37, 10, 56.0, 22.0
1607706442.91, 444, 71, 1023, 37, 11, 55.0, 22.0
1607707045.54, 443, 81, 1023, 38, 38, 55.0, 22.0
1607707648.11, 442, 76, 1023, 38, 39, 54.0, 22.0
1607708250.74, 444, 74, 1023, 38, 39, 54.0, 22.0
1607708853.34, 446, 81, 1023, 40, 40, 54.0, 23.0
1607709455.97, 444, 46, 1023, 38, 41, 54.0, 23.0
1607710058.57, 447, 72, 1023, 39, 41, 55.0, 23.0
1607710663.72, 446, 57, 1023, 39, 42, 55.0, 23.0
1607710672.6281497, 445, 66, 1023, 39, 42, 73.4, 23.0
1607711266.35, 449, 52, 1023, 39, 42, 55.0, 23.0
1607711493.97, 449, 60, 1023, 40, 42, 55.0, 23.0
1607621444.6495311, 506, 103, 1023, 36, 37, 68.0, 23.0
1607713554.91, 448, 60, 1023, 42, 50, 55.0, 23.0
1607714157.45, 446, 51, 1023, 47, 54, 56.0, 23.0
1607714760.05, 448, 61, 1023, 46, 50, 56.0, 23.0
1607715362.68, 448, 63, 1023, 49, 53, 55.0, 23.0
1607715965.22, 450, 66, 1023, 54, 60, 55.0, 23.0
1607716567.76, 446, 61, 1023, 60, 69, 56.0, 24.0
1607717170.3, 444, 60, 1023, 64, 73, 56.0, 23.0
1607717772.83, 446, 56, 1023, 64, 73, 56.0, 23.0
1607718375.39, 442, 62, 1023, 68, 78, 57.0, 23.0
1607718980.52, 448, 56, 1023, 78, 92, 57.0, 23.0
1607719583.06, 447, 69, 1023, 108, 144, 57.0, 23.0
1607720185.69, 446, 63, 1023, 113, 157, 57.0, 23.0
1607720788.23, 445, 63, 1023, 131, 197, 57.0, 23.0
1607721390.79, 448, 61, 1023, 160, 252, 58.0, 23.0
1607721993.42, 447, 65, 1023, 186, 290, 58.0, 23.0
1607722596.05, 442, 55, 1023, 215, 340, 58.0, 23.0
1607723198.58, 444, 60, 1023, 271, 421, 58.0, 23.0
1607723801.11, 443, 62, 1023, 387, 576, 58.0, 23.0
1607724403.65, 443, 68, 1023, 580, 748, 59.0, 22.0
1607725006.2, 444, 73, 1023, 745, 838, 59.0, 22.0
1607725608.83, 449, 68, 1023, 919, 919, 60.0, 22.0
1607726211.46, 442, 59, 1023, 985, 976, 60.0, 22.0
1607726814.03, 440, 64, 1023, 992, 984, 61.0, 22.0
1607727419.19, 439, 63, 1023, 993, 984, 61.0, 22.0
1607728021.72, 441, 40, 1023, 993, 984, 61.0, 22.0
1607728626.79, 437, 68, 1023, 987, 975, 61.0, 22.0
1607729229.43, 439, 66, 1023, 993, 981, 60.0, 21.0
1607729832.05, 439, 53, 1023, 993, 981, 60.0, 21.0
1607730442.18, 440, 60, 1023, 992, 980, 60.0, 21.0
